iot_lora_id,port,arrtime,rssi,district,post_code,recording
5772,6,16/04/2024 10:13,-50,16,161079,audio/mpeg
16173,6,16/04/2024 12:21,-88,46,460012,audio/mpeg
8820,6,16/04/2024 13:31,-92,33,330062,audio/mpeg
19215,6,16/04/2024 14:35,-63,33,330033,audio/mpeg
16173,6,16/04/2024 15:04,-78,46,460012,audio/mpeg
14966,6,17/04/2024 09:22,-76,73,730003,audio/mpeg
13913,6,17/04/2024 12:48,-75,56,560217,audio/mpeg
11503,6,17/04/2024 13:53,-76,15,151123,audio/mpeg
20054,6,17/04/2024 15:23,-108,56,56042,audio/mpeg
20054,6,17/04/2024 15:23,-108,56,56042,audio/mpeg
20054,6,17/04/2024 15:26,-4,56,56042,audio/mpeg
20054,6,17/04/2024 15:26,-4,56,56042,audio/mpeg
20054,6,17/04/2024 15:26,-21,56,56042,audio/mpeg
20054,6,17/04/2024 15:32,-32,56,56042,audio/mpeg
20054,6,17/04/2024 15:34,-26,56,56042,audio/mpeg
20054,6,17/04/2024 16:01,-56,56,56042,audio/mpeg
16173,6,17/04/2024 19:24,-84,46,460012,audio/mpeg
20628,6,18/04/2024 11:50,-92,19,190008,audio/mpeg
17684,6,18/04/2024 13:20,-68,46,461023,audio/mpeg
7207,6,18/04/2024 16:13,-86,9,90019,audio/mpeg
