Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
14/10/23,0.74,0.88,0.96,0.99,0.81,0.83,0.8,0.97,
15/10/23,0.81,0.89,0.99,1,0.82,0.85,0.85,0.98,
16/10/23,0.86,0.88,0.97,1,0.84,0.88,0.88,1,
17/10/23,0.87,0.91,0.96,1,0.87,0.88,0.87,0.98,
18/10/23,0.85,0.87,0.97,0.98,0.87,0.88,0.86,0.98,
19/10/23,0.81,0.86,0.96,0.97,0.86,0.87,0.88,0.96,
20/10/23,0.74,0.87,0.93,0.99,0.86,0.84,0.87,0.95,
21/10/23,0.72,0.87,0.96,0.99,0.81,0.81,0.85,0.97,
22/10/23,0.73,0.88,0.99,0.99,0.82,0.82,0.87,0.99,
23/10/23,0.78,0.85,0.99,0.99,0.86,0.86,0.9,0.98,
24/10/23,0.83,0.86,0.98,0.98,0.88,0.87,0.9,0.98,
25/10/23,0.83,0.86,0.95,0.95,0.88,0.86,0.89,0.97,
26/10/23,0.82,0.85,0.93,0.95,0.87,0.85,0.87,0.97,
27/10/23,0.74,0.84,0.92,0.89,0.85,0.81,0.84,0.99,
28/10/23,0.7,0.85,0.92,0.91,0.82,0.8,0.82,0.98,
29/10/23,0.73,0.86,0.95,0.96,0.84,0.82,0.85,1,
30/10/23,0.77,0.87,0.99,0.96,0.88,0.85,0.89,0.99,
31/10/23,0.71,0.87,1,0.98,0.89,0.86,0.89,0.98,
1/11/23,0.67,0.87,1,0.95,0.88,0.85,0.89,0.97,
2/11/23,0.67,0.85,1,0.92,0.86,0.86,0.89,0.97,
3/11/23,0.63,0.86,0.97,0.88,0.83,0.83,0.85,0.98,
4/11/23,0.63,0.85,0.96,0.9,0.81,0.81,0.83,0.98,
5/11/23,0.61,0.87,0.97,0.95,0.83,0.82,0.85,0.99,
6/11/23,0.65,0.87,0.99,0.96,0.85,0.86,0.87,0.99,
7/11/23,0.66,0.87,0.99,0.97,0.86,0.86,0.87,0.98,
8/11/23,0.66,0.86,0.96,0.95,0.87,0.86,0.88,0.98,
9/11/23,0.64,0.85,0.92,0.92,0.84,0.86,0.81,0.95,
10/11/23,0.62,0.86,0.88,0.92,0.82,0.82,0.77,0.91,
11/11/23,0.61,0.85,0.89,0.93,0.74,0.8,0.73,0.92,
12/11/23,0.63,0.86,0.92,0.93,0.76,0.81,0.76,0.92,
13/11/23,0.66,0.87,0.98,0.94,0.78,0.84,0.82,0.96,
14/11/23,0.69,0.87,0.96,0.96,0.82,0.86,0.86,0.96,
15/11/23,0.66,0.87,0.96,0.95,0.84,0.87,0.85,0.96,
16/11/23,0.67,0.86,0.94,0.93,0.86,0.87,0.84,0.95,
17/11/23,0.64,0.86,0.94,0.94,0.79,0.85,0.81,0.94,
18/11/23,0.6,0.85,0.93,0.98,0.74,0.84,0.78,0.97,
19/11/23,0.64,0.89,0.95,0.98,0.78,0.86,0.81,0.99,
20/11/23,0.71,0.87,0.97,0.97,0.85,0.88,0.84,0.97,
21/11/23,0.77,0.86,0.98,0.97,0.87,0.89,0.88,0.96,
22/11/23,0.7,0.87,0.99,0.97,0.87,0.87,0.82,0.98,
23/11/23,0.63,0.85,0.97,0.96,0.89,0.88,0.79,0.97,
24/11/23,0.61,0.85,0.92,0.92,0.86,0.85,0.8,0.94,
25/11/23,0.6,0.84,0.94,0.94,0.85,0.84,0.78,0.95,
26/11/23,0.64,0.86,0.95,0.97,0.85,0.85,0.82,0.99,
27/11/23,0.65,0.87,0.95,0.97,0.88,0.87,0.84,0.98,
28/11/23,0.69,0.87,0.96,1,0.88,0.87,0.89,0.99,
29/11/23,0.72,0.85,0.96,0.99,0.86,0.85,0.85,0.96,
30/11/23,0.69,0.85,0.96,0.98,0.85,0.86,0.87,0.98,
1/12/23,0.69,0.83,0.95,0.95,0.84,0.84,0.83,0.93,
2/12/23,0.64,0.85,0.96,0.98,0.83,0.83,0.81,0.95,
3/12/23,0.66,0.85,0.97,0.99,0.84,0.84,0.86,0.99,
4/12/23,0.73,0.86,1,1,0.87,0.84,0.87,0.97,
5/12/23,0.81,0.85,0.99,1,0.86,0.87,0.9,0.97,
6/12/23,0.85,0.86,1,0.96,0.88,0.86,0.87,0.97,
7/12/23,0.85,0.85,1,0.96,0.88,0.86,0.86,0.97,
8/12/23,0.81,0.86,0.99,0.99,0.85,0.83,0.85,0.94,
9/12/23,0.86,0.85,1,0.97,0.81,0.82,0.86,0.97,
10/12/23,0.89,0.86,1,0.99,0.84,0.85,0.88,0.99,
11/12/23,0.91,0.84,1,0.99,0.88,0.87,0.89,0.99,
12/12/23,0.92,0.85,1,1,0.89,0.89,0.9,0.99,
13/12/23,0.9,0.84,1,0.98,0.9,0.88,0.87,0.98,
14/12/23,0.93,0.84,1,1,0.89,0.87,0.87,0.96,
15/12/23,0.88,0.82,0.97,0.98,0.86,0.84,0.87,0.93,
