rssi,hour,2_hour_interval,Pi_is_emergency,is_emergency,is_emergency_pred,Pi_is_emergency_2,is_emergency_2_pred
-80,9,8,0.09756909529656142,0,0,0.29256284855284886,0
-96,18,18,0.00012187933545027555,0,0,0.1679041638108688,0
-69,1,0,0.9695877417956004,1,1,0.41546758746615453,0
-108,12,12,0.006153607035360661,0,0,0.2755773215725003,0
-98,9,8,0.07418037782390201,0,0,0.33616921412661194,0
-92,16,16,0.0005154734697288571,0,0,0.18554370913919216,0
-93,20,20,3.2369056096175165e-05,0,0,0.14177192642954284,0
-92,0,0,0.9688400830790311,1,1,0.46293369329849193,0
-64,13,12,0.008925333302738703,0,0,0.1985004920330298,0
-51,11,10,0.042386110366403516,0,0,0.20170900015385793,0
-63,15,14,0.0023078956395004165,0,0,0.1717489494283558,0
-68,19,18,0.0001358174141305315,0,0,0.13590931091837818,0
-81,17,16,0.0004328802175758406,0,0,0.1769627196826386,0
-86,10,10,0.034143344434201243,0,0,0.25965942310291845,0
-60,10,10,0.051679945395845556,0,0,0.2074572273412705,0
-72,1,0,0.9680800573128543,1,1,0.4236888930977774,0
-68,14,14,0.003034957266409035,0,0,0.17037537491210464,0
-50,11,10,0.04306698083258519,0,0,0.19990307149687528,0
-96,14,14,0.0019063853000054832,0,0,0.2196201849196108,0
-74,14,14,0.002747257301942245,0,0,0.18013245363997812,0
-102,14,14,0.0017254835976590855,0,0,0.23141078283523034,0
-57,6,6,0.47303573142292005,0,0,0.2608784886743967,0
-63,19,18,0.00014760434157083563,0,0,0.12943589793492472,0
-68,12,12,0.01190690015251689,0,0,0.1951900158994816,0
-82,11,10,0.02573866817792265,0,0,0.2637050470666426,0
-76,9,8,0.1035913284712553,0,0,0.28333432804678355,0
-66,20,20,5.073708889826065e-05,0,0,0.10866164238012598,0
-74,20,20,4.4410966283086454e-05,0,0,0.11769304757305822,0
-36,11,10,0.05376252458365572,0,0,0.1758901273099816,0
-57,15,14,0.0025497021402138462,0,0,0.1623560481815313,0
-68,10,10,0.045529366913459095,0,0,0.2226488846892508,0
-78,20,20,4.155013410642113e-05,0,0,0.12244824519237787,0
-66,21,20,3.5475649975918053e-05,0,0,0.11521622026541828,0
-45,9,8,0.1622091940115619,0,0,0.2180904058523121,0
-47,4,4,0.8075811512644889,1,1,0.27138588854133083,0
-82,5,4,0.6210231953129229,1,1,0.3710325175385808,0
-88,12,12,0.008563876738172348,0,0,0.2329783080042529,0
-62,15,14,0.0023465461530280717,0,0,0.17015408320560993,0
-94,21,20,2.2258856771805276e-05,0,0,0.15142800522478242,0
-78,21,20,2.905200066743604e-05,0,0,0.12971342157656307,0
-84,3,2,0.8625293428087546,1,1,0.41606528903930584,0
-88,14,14,0.0021773629368368273,0,0,0.20458079399171672,0
-100,12,12,0.007024045169453856,0,0,0.25797275867405656,0
-74,0,0,0.9767202283159386,1,1,0.4131170610634605,0
-58,15,14,0.0025077138077690955,0,0,0.1638922582461401,0
-80,9,8,0.09756909529656142,0,0,0.29256284855284886,0
-64,13,12,0.008925333302738703,0,0,0.1985004920330298,0
-66,19,18,0.00014041482991548283,0,0,0.13328780944844498,0
-82,11,10,0.02573866817792265,0,0,0.2637050470666426,0
-79,12,12,0.009934305494742215,0,0,0.21537113745447972,0
-76,19,18,0.00011888436488562784,0,0,0.1468323366811397,0
-63,10,10,0.049286447903874105,0,0,0.2130627399536187,0
-95,15,14,0.0013560572403182418,0,0,0.22913855621661902,0
-78,21,20,2.905200066743604e-05,0,0,0.12971342157656307,0
-100,12,12,0.007024045169453856,0,0,0.25797275867405656,0
-67,18,18,0.00019749687914124924,0,0,0.1270945959069608,0
-76,4,4,0.7214372664895308,1,1,0.340456351497438,0
-93,10,10,0.03050225000021524,0,0,0.2750863638909937,0
-106,12,12,0.0063606106214202695,0,0,0.27110705718006767,0
-99,15,14,0.0012688109763163745,0,0,0.23718607148433682,0
-48,13,12,0.011617673842101118,0,0,0.17139920262683986,0
-93,12,12,0.007885309707251358,0,0,0.24318359615723634,0
-76,9,8,0.1035913284712553,0,0,0.28333432804678355,0
